Country Name,Time,Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],Consumer price index (2010 = 100) [FP.CPI.TOTL],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Gini index [SI.POV.GINI],CoL_Trend
Cyprus,2011.0,29378.478515625,32485.796875,2115.0,103.289449395642,3.28944939564211,32.6,Decreasing
Cyprus,2012.0,25145.888671875,28991.935546875,1899.0,105.757090221733,2.38905410042317,34.3,Decreasing
Cyprus,2013.0,23695.255859375,27797.45703125,1916.0,105.334741163527,-0.399357676464426,37.0,Decreasing
Cyprus,2014.0,22731.18359375,27244.3515625,1874.0,103.907467160884,-1.35498885446315,35.6,Decreasing
Cyprus,2015.0,20165.8515625,23487.228515625,1596.0,101.728529974231,-2.0969976905311,34.0,Decreasing
Cyprus,2016.0,20629.857421875,24715.154296875,1649.0,100.274659733349,-1.42916666666665,32.9,Decreasing
Cyprus,2017.0,22676.0390625,26696.990234375,1773.0,100.807886777964,0.531766496174467,31.4,Decreasing
Cyprus,2018.0,24887.5703125,29599.986328125,2021.0,102.254975116847,1.43549119531759,32.7,Decreasing
Cyprus,2019.0,24414.591796875,29703.052734375,2093.0,102.510991917283,0.250370996758493,31.2,Decreasing
Cyprus,2020.0,22488.416015625,28649.015625,2362.0,101.856538374448,-0.638422797978959,31.7,Decreasing
Cyprus,2021.0,24687.482421875,33734.29296875,2990.0,104.348039621067,2.44608867175474,31.3,Normal
Czechia,2009.0,14319.404179344,19817.4215836554,1442.24279785,98.5486471958431,1.01937735329232,26.2,Decreasing
Czechia,2010.0,14232.531464553,20160.4355077059,1516.04858398,100.0,1.47272727272722,26.6,Decreasing
Czechia,2011.0,15447.399675161,22049.1080788682,1654.51013184,101.917219136355,1.9172191363555,26.4,Decreasing
Czechia,2012.0,14334.3443049002,20014.0354015165,1515.81604004,105.267873141014,3.28762306610411,26.1,Decreasing
Czechia,2013.0,14511.8595498347,20260.4954999375,1514.01403809,106.781938720659,1.4382978723404,26.5,Decreasing
Czechia,2014.0,14284.8566854894,20038.4163180257,1516.05627441,107.149256405662,0.343988589646794,25.9,Decreasing
Czechia,2015.0,12903.3680947709,17931.5987670768,1314.83728027,107.480738218957,0.309364548494975,25.9,Decreasing
